fast,slow,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades
12,21,1.5,True,100.0,7.729651641845702,3.2425406775553363,2.6967937051556072,43.90243902439025,41
12,26,1.5,False,65.0,6.5281318664550785,3.2263064106111337,2.1889600430438767,50.0,42
3,30,1.5,True,65.0,7.725588989257813,3.213478723355143,3.3663188474526478,41.07142857142857,56
3,8,1.5,True,65.0,8.356451797485352,3.2040747438928143,3.3918000663147914,39.166666666666664,120
12,30,1.5,True,60.0,4.801317977905273,3.1961227119089304,1.3138077546018887,48.0,25
5,8,1.5,True,60.0,9.115615844726562,3.189692566268443,3.571625520482523,38.961038961038966,77
5,13,1.5,True,60.0,8.681846237182617,3.1541827986920477,2.552401426721153,39.682539682539684,63
10,21,1.5,True,65.0,7.405194091796876,3.14378534607224,2.706661696734546,41.86046511627907,43
5,21,1.5,True,65.0,7.442351913452148,3.124601569393018,3.3359556204572884,36.36363636363637,55
5,30,1.5,True,60.0,7.235676956176758,3.1060566848687996,3.1631294552946274,43.58974358974359,39
8,26,1.5,True,60.0,7.054399871826172,3.0568230074542027,3.108405909836981,45.714285714285715,35
3,26,2.5,False,65.0,10.148202514648437,3.0542460711545956,3.8914471318554975,36.84210526315789,95
8,26,2.0,True,65.0,8.63234748840332,3.012609788079925,3.7384718402217234,45.94594594594595,37
5,26,1.5,True,60.0,6.961289978027343,3.00115420284457,3.3020514523405557,42.22222222222222,45
12,13,1.5,False,60.0,7.122363662719726,2.9960793052698573,3.8978063008407853,40.32258064516129,62
10,26,1.5,False,65.0,6.12406120300293,2.9530554077175597,2.279678296520611,50.0,44
3,26,1.5,False,60.0,7.423099899291992,2.924458374729959,3.451491864434679,37.634408602150536,93
8,21,1.5,True,60.0,6.597292709350586,2.9184825803163714,3.431229516237956,43.18181818181818,44
3,30,1.5,True,60.0,6.766092300415039,2.906915209215989,3.9531655352047537,40.74074074074074,54
12,13,1.5,True,65.0,6.720764541625976,2.8330586469173187,3.5955391135248775,40.816326530612244,49
8,13,2.5,True,60.0,9.411677169799805,2.8307996986714232,3.7510015153208607,37.5,56
8,13,2.5,True,65.0,9.672909927368165,2.80428655573918,3.6479855696844656,39.682539682539684,63
5,21,1.5,True,60.0,6.482855224609375,2.7786327077151047,3.88857832017626,35.84905660377358,53
10,21,1.5,True,60.0,6.470695114135743,2.7745062315550153,3.4105120694956628,40.0,40
10,13,1.5,True,65.0,6.540019607543945,2.6880328016072768,3.891293472468039,40.67796610169492,59
12,21,2.0,False,60.0,7.129069519042969,2.6542534528820583,3.9922945704924064,48.837209302325576,43
8,13,2.0,True,60.0,8.632377243041992,2.653135063233174,3.7299612918577347,39.285714285714285,56
10,21,2.0,True,65.0,7.459606170654297,2.628803034207229,3.7873002604544204,41.86046511627907,43
3,26,1.5,True,65.0,6.192129516601563,2.5718695676886223,3.288453964758836,36.76470588235294,68
10,30,1.5,True,65.0,4.707863998413086,2.5611224090396743,2.5416727365495553,51.724137931034484,29
12,21,1.5,True,65.0,5.849435806274414,2.5458465347504706,2.755033325652963,41.66666666666667,36
5,13,2.5,True,60.0,7.456254196166992,2.446163216709652,3.5275927480043427,36.507936507936506,63
12,30,2.0,True,65.0,5.120328521728515,2.4282223911781835,3.930639274128419,48.275862068965516,29
8,30,1.5,True,65.0,4.414745330810547,2.4220358617759348,2.49573593427524,48.38709677419355,31
8,26,2.5,True,65.0,6.769589233398437,2.317429911955783,3.9228090674370204,45.94594594594595,37
3,26,1.5,True,60.0,5.232632827758789,2.229924939456678,3.731899266690749,36.36363636363637,66
12,26,1.5,True,65.0,4.163555526733399,2.225478877605827,2.6037189332135284,46.666666666666664,30
12,21,1.5,True,60.0,4.922021484375,2.1869520435628287,3.442921579503375,39.39393939393939,33
5,13,2.0,True,60.0,6.243050765991211,2.1367396386939363,3.5852598650916874,38.095238095238095,63
10,30,1.5,True,60.0,3.773365020751953,2.1032111714291797,2.8222074282398752,50.0,26
12,26,2.0,True,65.0,4.913556289672852,2.0822915340905324,3.9576436422463113,50.0,30
8,30,1.5,True,60.0,3.5682483673095704,2.0204950639668966,2.698166897059612,48.275862068965516,29
10,26,1.5,True,65.0,3.661277389526367,2.0045746821233688,2.661272319345101,46.875,32
8,30,2.0,True,65.0,4.75103988647461,2.001612167254306,3.9094017230944127,45.16129032258064,31
10,30,2.0,True,65.0,4.315939712524415,1.8530738919665442,3.579680431560598,48.275862068965516,29
12,26,1.5,True,60.0,3.2361412048339844,1.7945754534311342,2.9828045320276626,44.44444444444444,27
8,30,2.0,True,60.0,4.095042037963867,1.7533067822039106,3.9525663172789467,44.827586206896555,29
10,26,1.5,True,60.0,3.1138679504394533,1.7525125509512924,3.142312764105056,46.42857142857143,28
10,21,2.5,True,65.0,4.635754776000976,1.6252754913578855,3.983406308056117,39.53488372093023,43
8,30,2.5,True,65.0,2.7004650115966795,1.122102300122687,3.8540627589625216,48.38709677419355,31
12,26,2.5,True,65.0,1.8639610290527342,0.802716356387691,3.890227205496357,46.666666666666664,30
10,30,2.5,True,65.0,1.690428924560547,0.7371562911375839,3.5507362968330054,48.275862068965516,29
