timeframe,fast_ema,slow_ema,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades,Avg Duration (min)
5m,3,30,3.5,True,100,11.760942618077252,1.2820108923806777,12.858266789856904,30.24390243902439,205,377.0243902439024
5m,3,30,3.5,False,70,-13.300826297280002,-0.7914838223600862,26.47322358601728,27.134146341463417,328,320.8231707317073
5m,3,30,3.5,False,100,-13.626252821286267,-0.7661990064269018,29.17426574591054,27.536231884057973,345,314.231884057971
5m,3,30,4.5,True,70,12.622251764455722,1.3381194090588022,12.57929843001869,29.166666666666668,192,441.09375
5m,3,30,4.5,True,100,9.978193716381156,1.00971458293527,15.836686677899076,29.756097560975608,205,428.609756097561
5m,3,30,4.5,False,70,-12.58621444480848,-0.686947449494428,27.417078274169704,26.52439024390244,328,357.2865853658537
5m,3,30,4.5,False,100,-10.49309692033289,-0.4644477091502522,30.613319349780472,27.246376811594203,345,354.1159420289855
5m,3,30,,True,70,10.221178750001219,1.0878686432500597,12.732801729409571,29.166666666666668,192,446.640625
5m,3,30,,True,100,7.549038500001417,0.7839402349714292,15.50667950708311,30.24390243902439,205,435.0
5m,3,30,,False,70,-15.082281249997868,-0.8552418132442468,28.281581730702005,25.914634146341463,328,367.0884146341463
5m,3,30,,False,100,-11.236543999997696,-0.5011752218262913,31.07123551424512,26.956521739130434,345,365.4782608695652
5m,5,13,2.5,True,70,-11.099681594116044,-1.4506886650853954,17.49180646513851,29.961089494163424,257,277.60700389105057
5m,5,13,2.5,True,100,-14.207428536796135,-1.8302426309274662,18.66905495151435,30.0,270,271.4074074074074
5m,5,13,2.5,False,70,-32.635802372609135,-2.6820334688202117,33.06133396747078,27.81774580335731,417,234.59232613908873
5m,5,13,2.5,False,100,-34.46895834836681,-2.808971754396957,34.66923406216431,28.341013824884794,434,230.87557603686636
5m,5,13,3.5,True,70,4.05341014793828,0.5155431396415501,13.638209781915982,32.295719844357976,257,327.17898832684824
5m,5,13,3.5,True,100,0.044477931884625836,0.10478067717934496,15.641294451465162,32.592592592592595,270,319.6111111111111
5m,5,13,3.5,False,70,-18.453046821494365,-1.021173556324409,34.7445571716735,29.256594724220626,417,285.7913669064748
5m,5,13,3.5,False,100,-22.615581007379024,-1.2904330223412226,37.83154704079056,29.723502304147466,434,280.7258064516129
5m,5,13,4.5,True,70,3.8490957319416568,0.48289814530925307,13.900314624843338,33.07392996108949,257,336.57587548638134
5m,5,13,4.5,True,100,-0.44267083682352676,0.06255216470814344,16.291291686970368,33.33333333333333,270,329.68518518518516
5m,5,13,4.5,False,70,-16.757714144932255,-0.8773002046680953,32.99365416804348,30.215827338129497,417,293.3333333333333
5m,5,13,4.5,False,100,-22.44640954237716,-1.2499758531665264,36.64159671786501,30.64516129032258,434,288.7327188940092
5m,5,13,,True,70,6.438076500001875,0.7199413534529908,14.375461812377866,32.295719844357976,257,339.4747081712062
5m,5,13,,True,100,2.1858027500019377,0.30962137191879613,16.82491786902815,32.592592592592595,270,332.537037037037
5m,5,13,,False,70,-14.232915999997148,-0.6821603406423897,33.38767179306477,29.97601918465228,417,295.32374100719426
5m,5,13,,False,100,-19.94364749999696,-1.037048035027434,37.40252182298517,30.414746543778804,434,290.7603686635945
5m,5,21,2.5,True,70,-3.64066799774813,-0.37754108991499524,14.692192783069459,29.081632653061224,196,298.16326530612247
5m,5,21,2.5,True,100,-6.409812720849607,-0.7003073006067783,15.710685659392068,28.985507246376812,207,291.1111111111111
5m,5,21,2.5,False,70,-24.86361247791559,-2.0402330846893824,25.49956603873168,26.380368098159508,326,240.7361963190184
5m,5,21,2.5,False,100,-25.83257296836752,-2.0891083564389223,26.38655839364807,26.97947214076246,341,236.7741935483871
5m,5,21,3.5,True,70,13.57406045246537,1.5183113035437528,9.520910926246467,29.591836734693878,196,420.0255102040816
5m,5,21,3.5,True,100,10.17706443249142,1.1245614581415273,11.572644396224511,29.468599033816425,207,407.7536231884058
5m,5,21,3.5,False,70,-5.864151182176181,-0.18311522144724618,22.26240444204177,27.914110429447852,326,346.1963190184049
5m,5,21,3.5,False,100,-8.768553958047448,-0.38609341404051173,24.869777256780516,28.152492668621704,341,338.38709677419354
5m,5,21,4.5,True,70,12.968868193245886,1.3358937213012274,11.535608690454898,28.57142857142857,196,443.39285714285717
5m,5,21,4.5,True,100,8.77876325487607,0.9068793147344291,14.145203201455839,28.985507246376812,207,432.07729468599035
5m,5,21,4.5,False,70,-7.236177932530836,-0.255017463386995,23.958018593715394,26.993865030674847,326,365.9815950920245
5m,5,21,4.5,False,100,-12.018477055927598,-0.5725870403663049,27.346553575580934,27.56598240469208,341,358.7243401759531
5m,5,21,,True,70,12.565829750001397,1.2659189139545548,12.094803569498476,28.061224489795915,196,448.5459183673469
5m,5,21,,True,100,8.10401975000143,0.8276282195816683,14.420574231952113,28.985507246376812,207,437.94685990338166
5m,5,21,,False,70,-8.056482499997832,-0.296008885329644,25.362705499998444,26.380368098159508,326,375.70552147239266
5m,5,21,,False,100,-13.306759999997736,-0.6375255768739148,28.49463299999836,27.27272727272727,341,369.10557184750735
5m,5,30,2.5,True,70,0.18837776294818695,0.09895880605132427,13.135291412323614,31.818181818181817,154,302.4025974025974
5m,5,30,2.5,True,100,-2.4326400135923563,-0.24291829211308866,13.995405675823031,31.92771084337349,166,291.83734939759034
5m,5,30,2.5,False,70,-16.664271587667987,-1.6625598774867976,22.149270731685874,28.225806451612907,248,251.02822580645162
5m,5,30,2.5,False,100,-17.553139131558964,-1.7277631851336366,22.63477399924779,29.166666666666668,264,244.54545454545453
5m,5,30,3.5,True,70,15.125087699520828,1.7398967549849107,9.315058201431805,31.16883116883117,154,434.18831168831167
5m,5,30,3.5,True,100,11.949500554078394,1.3437641928878459,11.056728616727671,30.72289156626506,166,416.8072289156627
5m,5,30,3.5,False,70,-4.149572756241173,-0.19888836318022332,20.280248991670902,29.03225806451613,248,377.6008064516129
5m,5,30,3.5,False,100,-6.900600657580924,-0.40628681916894804,22.501098112412173,29.166666666666668,264,365.18939393939394
5m,5,30,4.5,True,70,15.863200330145673,1.5866345030157594,11.574822546753724,30.519480519480517,154,561.2662337662338
5m,5,30,4.5,True,100,10.966682720465041,1.0861546325166298,14.933181192815306,30.72289156626506,166,538.222891566265
5m,5,30,4.5,False,70,-2.0644331767280506,-0.006971511419064278,20.193939739288357,28.62903225806452,248,474.39516129032256
5m,5,30,4.5,False,100,-2.291809213858721,-0.0065599297329212965,23.52154308279925,29.166666666666668,264,463.46590909090907
5m,5,30,,True,70,14.182662500001062,1.4013713531727046,11.862546044337638,29.22077922077922,154,571.5909090909091
5m,5,30,,True,100,8.11300250000122,0.8171280302041478,15.392363643559026,30.120481927710845,166,549.5481927710844
5m,5,30,,False,70,-3.551234749998264,-0.10798836284355172,20.905432239114983,27.016129032258064,248,505.7056451612903
5m,5,30,,False,100,-4.258507249998171,-0.13146912611424752,25.24380345698039,28.030303030303028,264,495.79545454545456
5m,8,13,2.5,True,70,1.855288716159623,0.31172405285239674,13.28854938782881,31.70731707317073,205,308.0975609756098
5m,8,13,2.5,True,100,-0.5419460069419301,0.015134270940359773,13.920269204754836,31.627906976744185,215,301.95348837209303
5m,8,13,2.5,False,70,-11.58270459970828,-0.7678370181595198,20.482289249320512,29.793510324483773,339,256.62241887905606
5m,8,13,2.5,False,100,-12.17975509016021,-0.8048920621313475,21.0597761904788,30.31161473087819,353,252.67705382436262
5m,8,13,3.5,True,70,12.978500113731592,1.4959757279033827,8.959108123720789,33.170731707317074,205,420.9756097560976
5m,8,13,3.5,True,100,9.977402093757723,1.1421067020944733,10.210444939778736,33.02325581395349,215,410.72093023255815
5m,8,13,3.5,False,70,-0.8639325501045505,0.19822255591337448,19.512033231533145,31.268436578171094,339,354.7197640117994
5m,8,13,3.5,False,100,-3.3724373259757154,0.016900149193704736,21.655060939895645,31.444759206798867,353,347.60623229461754
5m,8,13,4.5,True,70,10.087866656947266,1.118923447201926,10.67005195562011,31.70731707317073,205,435.9756097560976
5m,8,13,4.5,True,100,6.625580197115618,0.7494098178810245,12.610259813878768,31.627906976744185,215,426.5348837209302
5m,8,13,4.5,False,70,-3.317211659859345,0.02339984499572544,20.91337939538412,30.383480825958703,339,369.0412979351033
5m,8,13,4.5,False,100,-7.524615804717893,-0.27134969939003106,23.74686439871144,30.59490084985836,353,362.35127478753543
5m,8,13,,True,70,10.689649250001708,1.1373191454014429,11.539416171446366,31.21951219512195,205,440.7317073170732
5m,8,13,,True,100,6.637230500001692,0.7259407380225822,13.379758666586087,31.16279069767442,215,431.2325581395349
5m,8,13,,False,70,-3.51507424999761,0.018136831036206072,22.598672749998308,29.793510324483773,339,372.2566371681416
5m,8,13,,False,100,-8.508883999997442,-0.32083668070480553,25.493977499998223,30.02832861189802,353,366.0056657223796
