fast_ema,slow_ema,macro_ema,rsi_limit,IS Return %,IS Sharpe,IS Max DD %,IS Trades,OOS Return %,OOS Sharpe,OOS Max DD %,OOS Trades
8,35,200,70,66.98050725000012,3.4761093315910605,9.164794082224134,13,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,200,75,66.98050725000012,3.4761093315910605,9.164794082224134,13,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,200,100,62.538365250000105,3.1628509517983217,9.432752974874818,14,5.307097750000344,0.4313466818645861,17.793394661637404,31
8,35,250,65,23.710958250000065,1.6998126598713155,9.354972998060843,11,3.1815985000002684,0.3316833257102725,13.896791093562816,24
8,35,250,70,21.559816250000086,1.5408164872118046,9.52034323642165,12,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,250,75,21.559816250000086,1.5408164872118046,9.52034323642165,12,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,250,100,17.11767425000007,1.2203099134445676,9.881038778994553,13,5.307097750000344,0.4313466818645861,17.793394661637404,31
9,25,150,65,44.37566775000018,2.6237559389915526,8.614077296883286,16,16.276609250000252,1.2247130512158189,11.506005366520403,27
9,25,150,70,42.500387750000165,2.492818191084568,8.745082233119769,17,10.888443250000341,0.8519551065514388,14.981068541004634,33
9,25,150,75,42.500387750000165,2.492818191084568,8.745082233119769,17,10.888443250000341,0.8519551065514388,14.981068541004634,33
9,25,150,100,39.26164375000017,2.2764349413228246,11.564215734296393,18,9.083229250000317,0.6484017721945254,16.36513852013495,34
9,25,200,65,43.75086475000021,2.6082823728824875,8.571000231493489,16,15.954091750000249,1.2114881821257548,12.458298623729322,26
9,25,200,70,41.875584750000186,2.4767896499910522,8.700688328191724,17,10.565925750000337,0.8321282226184633,15.228344924576975,32
9,25,200,75,41.875584750000186,2.4767896499910522,8.700688328191724,17,10.565925750000337,0.8321282226184633,15.228344924576975,32
9,25,200,100,38.63684075000019,2.2596041872009387,10.98349394060138,18,8.760711750000315,0.6323709358850697,16.612414903707286,33
9,25,250,65,43.75086475000021,2.6082823728824875,8.571000231493489,16,18.22252975000024,1.3677398734549477,10.745699102750507,25
9,25,250,70,41.875584750000186,2.4767896499910522,8.700688328191724,17,12.83436375000033,0.9856867876525476,13.489117921397098,31
9,25,250,75,41.875584750000186,2.4767896499910522,8.700688328191724,17,12.83436375000033,0.9856867876525476,13.489117921397098,31
9,25,250,100,38.63684075000019,2.2596041872009387,10.98349394060138,18,11.029149750000306,0.7584030409268119,14.873187900527412,32
9,30,150,65,24.26435350000011,1.743262332443843,8.26124647085826,12,6.166577500000244,0.5438914634252557,13.183700627339027,25
9,30,150,70,22.11321150000008,1.582775348031612,8.407360712264659,13,-2.9107894999997597,-0.08924614450057175,17.53485171430722,30
9,30,150,75,22.11321150000008,1.582775348031612,8.407360712264659,13,-2.9107894999997597,-0.08924614450057175,17.53485171430722,30
9,30,150,100,17.67106950000011,1.2590140980407314,8.919994249999968,14,7.967739000000256,0.5838900715366259,16.4749789049841,32
9,30,200,65,69.68504450000009,3.653757294458209,8.964294225613049,13,4.449307000000249,0.4256481650196758,14.587975619926391,25
9,30,200,70,67.53390250000011,3.5032352612985442,9.08777462519535,14,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,200,75,67.53390250000011,3.5032352612985442,9.08777462519535,14,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,200,100,63.091760500000106,3.1884729652014228,9.353844324614885,15,6.250468500000237,0.489187869040736,17.803478103604437,32
9,30,250,65,24.26435350000011,1.743262332443843,8.26124647085826,12,4.449307000000249,0.4256481650196758,14.587975619926391,25
9,30,250,70,22.11321150000008,1.582775348031612,8.407360712264659,13,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,250,75,22.11321150000008,1.582775348031612,8.407360712264659,13,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,250,100,17.67106950000011,1.2590140980407314,8.919994249999968,14,6.250468500000237,0.489187869040736,17.803478103604437,32
9,35,150,65,69.68772550000011,3.596348251691351,9.067036610873732,11,3.956480000000215,0.3819680094688146,12.63332003480194,23
9,35,150,70,69.68772550000011,3.596348251691351,9.067036610873732,11,-1.0939654999997743,0.04735330250627292,15.517003421803013,27
9,35,150,75,69.68772550000011,3.596348251691351,9.067036610873732,11,-1.0939654999997743,0.04735330250627292,15.517003421803013,27
9,35,150,100,65.24558350000011,3.2785760416794716,9.331875676395065,12,9.403753500000288,0.6464201990830414,17.026707361290985,29
9,35,200,65,69.68772550000011,3.596348251691351,9.067036610873732,11,0.7767967500002442,0.1692747511214795,15.30557643376281,24
9,35,200,70,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,200,75,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,200,100,65.24558350000011,3.2785760416794716,9.331875676395065,12,6.2240702500003176,0.47966257626013326,17.180420209486574,30
9,35,250,65,69.68772550000011,3.596348251691351,9.067036610873732,11,0.7767967500002442,0.1692747511214795,15.30557643376281,24
9,35,250,70,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,250,75,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,250,100,65.24558350000011,3.2785760416794716,9.331875676395065,12,6.2240702500003176,0.47966257626013326,17.180420209486574,30
