ticker,timeframe,ema_fast,ema_slow,atr_mult,stop_mode,position_size,Return %,Sharpe,Max DD %,Trades,Avg Weekly Return %,Max Weekly Loss %
TQQQ,15m,5,13,4.5,intraday,0.7,15.638081506113258,1.5788107441610646,14.34467415576346,80,0.6333543976145397,-5.162891400425118
TQQQ,15m,5,13,4.5,intraday,0.9,19.83496073882361,1.5623747810431972,18.46613946137743,80,0.8105578061725582,-6.858603747575764
TQQQ,15m,5,13,4.5,close_only,0.5,12.03627175000047,1.7427174386143367,10.071302425786707,80,0.4829859689530527,-3.55387280109023
TQQQ,15m,5,13,4.5,close_only,0.7,17.210800250000556,1.7216444553759886,14.414024836751608,80,0.6943201679795018,-5.224448492107414
TQQQ,15m,5,13,4.5,close_only,0.9,21.837452500000655,1.7004518055505538,18.574766003905292,80,0.888436534159441,-6.94666854359518
TQQQ,15m,5,13,,intraday,0.5,12.03627175000047,1.7427174386143367,10.071302425786707,80,0.4829859689530527,-3.55387280109023
TQQQ,15m,5,13,,intraday,0.7,17.210800250000556,1.7216444553759886,14.414024836751608,80,0.6943201679795018,-5.224448492107414
TQQQ,15m,5,13,,intraday,0.9,21.837452500000655,1.7004518055505538,18.574766003905292,80,0.888436534159441,-6.94666854359518
TQQQ,15m,5,13,,close_only,0.5,12.03627175000047,1.7427174386143367,10.071302425786707,80,0.4829859689530527,-3.55387280109023
TQQQ,15m,5,13,,close_only,0.7,17.210800250000556,1.7216444553759886,14.414024836751608,80,0.6943201679795018,-5.224448492107414
TQQQ,15m,5,13,,close_only,0.9,21.837452500000655,1.7004518055505538,18.574766003905292,80,0.888436534159441,-6.94666854359518
TQQQ,15m,8,21,2.5,intraday,0.5,5.430446074635279,1.1523482342358184,7.766834596805157,54,0.2263315162236248,-2.233896505050914
TQQQ,15m,8,21,2.5,intraday,0.7,7.545372908197397,1.121609876571508,11.073102287466268,54,0.3220321460304718,-3.2313902332799516
TQQQ,15m,8,21,2.5,intraday,0.9,9.565512126921295,1.11301299199162,14.29901557607458,54,0.41723927732012,-4.2639428747962675
TQQQ,15m,8,21,2.5,close_only,0.5,7.7450072500003895,1.4058621349712612,10.644381418336685,54,0.31878344142716175,-2.690485523453201
TQQQ,15m,8,21,2.5,close_only,0.7,10.967111750000367,1.3768650502354642,15.08220705069877,54,0.45951346575509133,-3.9237831402910706
TQQQ,15m,8,21,2.5,close_only,0.9,13.509808250000468,1.3471289528917518,19.278751290901745,54,0.5768641131295915,-5.05714935433248
TQQQ,15m,8,21,3.5,intraday,0.5,5.754873217170234,1.0325191852440183,9.299759780229348,54,0.24068841940561558,-2.636558806641409
TQQQ,15m,8,21,3.5,intraday,0.7,7.874063628448857,0.9954002073672673,13.323091469500929,54,0.3386312288370408,-3.817107946718812
TQQQ,15m,8,21,3.5,intraday,0.9,9.629461115083586,0.9662774507648737,17.126021648457602,54,0.4266432654411748,-5.038910234564531
TQQQ,15m,8,21,3.5,close_only,0.5,6.809475250000355,1.131640154527102,8.79154581517403,54,0.2862705789324203,-2.95280164189482
TQQQ,15m,8,21,3.5,close_only,0.7,9.005093250000481,1.0646381768080675,12.60773675200268,54,0.3914480550715901,-4.1179065734024745
TQQQ,15m,8,21,3.5,close_only,0.9,11.181488000000627,1.0532319033644002,16.17624589398467,54,0.5001662864069495,-5.3648337010887115
TQQQ,15m,8,21,4.5,intraday,0.5,5.321681546850027,0.9011215545724887,8.863339018932583,54,0.22832329696433362,-2.8598424328537764
TQQQ,15m,8,21,4.5,intraday,0.7,6.8958435974263015,0.8388726374163006,12.726512712543439,54,0.30978587093422666,-3.9924766200256756
TQQQ,15m,8,21,4.5,intraday,0.9,8.543625255390907,0.8337049979398047,16.324228114049223,54,0.39865969645589333,-5.204976198846789
TQQQ,15m,8,21,4.5,close_only,0.5,7.834962250000375,1.2416265522075918,9.283453864907298,54,0.3317769570362056,-2.966715291757216
TQQQ,15m,8,21,4.5,close_only,0.7,10.391399750000527,1.170646363734481,13.311631122138753,54,0.45611129672422057,-4.1436779186391774
TQQQ,15m,8,21,4.5,close_only,0.9,13.09227600000063,1.1681366821248533,17.023000057706213,54,0.5925111984419429,-5.409370514833323
TQQQ,15m,8,21,,intraday,0.5,6.577591250000364,1.0075288634152801,10.43719866477427,54,0.2866909365147165,-2.985160493807304
TQQQ,15m,8,21,,intraday,0.7,8.728231750000532,0.9564134138413634,14.855787692545174,54,0.3994419806797938,-4.177965303614872
TQQQ,15m,8,21,,intraday,0.9,11.014402500000598,0.9635494488161005,18.92604892366116,54,0.5258105687828509,-5.46890549771285
TQQQ,15m,8,21,,close_only,0.5,6.577591250000364,1.0075288634152801,10.43719866477427,54,0.2866909365147165,-2.985160493807304
TQQQ,15m,8,21,,close_only,0.7,8.728231750000532,0.9564134138413634,14.855787692545174,54,0.3994419806797938,-4.177965303614872
TQQQ,15m,8,21,,close_only,0.9,11.014402500000598,0.9635494488161005,18.92604892366116,54,0.5258105687828509,-5.46890549771285
TQQQ,15m,8,30,2.5,intraday,0.5,2.788365299727138,0.6425544983390881,7.587398640179867,43,0.12459384710984354,-2.7781659437164374
TQQQ,15m,8,30,2.5,intraday,0.7,3.884262121757229,0.6351435931710778,10.839338527272426,43,0.18291858766947883,-3.775041438341431
TQQQ,15m,8,30,2.5,intraday,0.9,4.439716234760362,0.5937227464828919,14.026682342839598,43,0.22331421475826424,-4.7822715902030914
TQQQ,15m,8,30,2.5,close_only,0.5,6.700658250000288,1.2938254449098328,9.441141498866322,43,0.2790549622266587,-2.2616256208993546
TQQQ,15m,8,30,2.5,close_only,0.7,9.61287675000026,1.283470437957896,13.370937768030927,43,0.40827912256502413,-3.2963533753169627
TQQQ,15m,8,30,2.5,close_only,0.9,12.038525750000417,1.2611538594902327,17.25981847743279,43,0.5232251704264153,-4.266617928612582
TQQQ,15m,8,30,3.5,intraday,0.5,3.8925501050506224,0.730567427560034,8.641430619890192,43,0.17063920340140323,-2.522573606045009
TQQQ,15m,8,30,3.5,intraday,0.7,5.300175309130145,0.7096008891853823,12.417979086194032,43,0.24407486170206213,-3.6630468985139775
TQQQ,15m,8,30,3.5,intraday,0.9,6.2488073555878145,0.6761553109712306,16.01942827971469,43,0.30496722682957556,-4.8425175300812695
TQQQ,15m,8,30,3.5,close_only,0.5,3.403307750000294,0.604067856261886,9.079958078356063,43,0.1572521794913637,-3.3883235632600317
TQQQ,15m,8,30,3.5,close_only,0.7,4.285541750000312,0.5580128872976333,13.099596780776993,43,0.2166303027829892,-4.78675894938998
TQQQ,15m,8,30,3.5,close_only,0.9,5.218937250000385,0.5574816233408384,16.757316160063702,43,0.2842148411368642,-6.289223977166847
TQQQ,15m,8,30,4.5,intraday,0.5,2.812625510538055,0.5093243971726611,9.037835929246711,43,0.13172709364538804,-3.3403106694786966
TQQQ,15m,8,30,4.5,intraday,0.7,3.473729202332515,0.46945787879057677,12.977693691782838,43,0.179985418164137,-4.721673327562925
TQQQ,15m,8,30,4.5,intraday,0.9,3.992004279766593,0.4532938768459411,16.71351640047866,43,0.22944277579477124,-6.2105387334705275
TQQQ,15m,8,30,4.5,close_only,0.5,7.625695500000301,1.1916304323830809,9.761380061891014,43,0.3211032134374569,-3.1301923751329452
TQQQ,15m,8,30,4.5,close_only,0.7,10.108129000000327,1.1211976550224458,13.974983683405714,43,0.4408586045554763,-4.398368508341632
TQQQ,15m,8,30,4.5,close_only,0.9,12.589250250000328,1.1069175610925017,17.854870618626943,43,0.5674244489870213,-5.784547617450508
TQQQ,15m,8,30,,intraday,0.5,8.173921250000285,1.1933150099274936,10.917571173018482,43,0.3451748125852116,-3.1045298631149354
TQQQ,15m,8,30,,intraday,0.7,11.038663500000348,1.1431861758926132,15.50417737028233,43,0.4825505457971615,-4.3747501642094395
TQQQ,15m,8,30,,intraday,0.9,12.968538250000325,1.0834498933348284,19.80793931635188,43,0.5914976616155405,-5.768598346723097
TQQQ,15m,8,30,,close_only,0.5,8.173921250000285,1.1933150099274936,10.917571173018482,43,0.3451748125852116,-3.1045298631149354
TQQQ,15m,8,30,,close_only,0.7,11.038663500000348,1.1431861758926132,15.50417737028233,43,0.4825505457971615,-4.3747501642094395
TQQQ,15m,8,30,,close_only,0.9,12.968538250000325,1.0834498933348284,19.80793931635188,43,0.5914976616155405,-5.768598346723097
TQQQ,30m,5,13,2.5,intraday,0.5,1.6438311732480542,0.3324967001841023,9.942518747954763,44,0.08239532992871013,-2.755988801656173
TQQQ,30m,5,13,2.5,intraday,0.7,1.5472654918149034,0.26409757240431914,14.346693603416977,44,0.09755854237749025,-3.843251794007385
TQQQ,30m,5,13,2.5,intraday,0.9,1.8333788975946845,0.27402324803326233,18.238394756843977,44,0.13310612104550318,-4.921934055030663
TQQQ,30m,5,13,2.5,close_only,0.5,-1.37821874999986,-0.1289042305354791,13.070526149778946,44,-0.030184149487851215,-3.0785321366119556
TQQQ,30m,5,13,2.5,close_only,0.7,-2.8011409999997228,-0.17463036532737655,18.806744636630267,44,-0.05952715230369907,-4.292975251724918
TQQQ,30m,5,13,2.5,close_only,0.9,-4.407187499999748,-0.21209932683607216,23.341157026022213,44,-0.09294049092439667,-5.610437080491071
TQQQ,30m,5,13,3.5,intraday,0.5,3.337493090931502,0.5418611910163821,11.77499467346502,44,0.16374619309799146,-3.124061773526776
TQQQ,30m,5,13,3.5,intraday,0.7,3.7970743576917356,0.4715396433177028,16.923225314127023,44,0.21585598447646603,-4.364419182635393
TQQQ,30m,5,13,3.5,intraday,0.9,4.067150046040342,0.43825515702785073,21.431692614006415,44,0.26754878767028684,-5.706156055449019
TQQQ,30m,5,13,3.5,close_only,0.5,4.297941750000154,0.6365360993611338,13.367641457459278,44,0.20056142507283423,-3.084573225597287
TQQQ,30m,5,13,3.5,close_only,0.7,5.042935000000261,0.5611926802822543,19.21646082563242,44,0.2644035084129617,-4.304176078071487
TQQQ,30m,5,13,3.5,close_only,0.9,5.642539000000307,0.5365669254971536,23.801596042367823,44,0.3262638439136506,-5.629882065585223
TQQQ,30m,5,13,4.5,intraday,0.5,4.2403545798848885,0.6311982895696525,13.034570068538379,44,0.1979071143157531,-3.1019186030640467
TQQQ,30m,5,13,4.5,intraday,0.7,5.049681764027037,0.5637029956758475,18.76036979601401,44,0.2635115706936632,-4.336416781766106
TQQQ,30m,5,13,4.5,intraday,0.9,4.748600057378416,0.4768644149167579,23.287280871383846,44,0.28493850052283465,-5.68603889254563
TQQQ,30m,5,13,4.5,close_only,0.5,3.7177320000002054,0.5565447692493668,13.40607420032259,44,0.17898288458930886,-3.1038143033845556
TQQQ,30m,5,13,4.5,close_only,0.7,4.269322000000284,0.4894231551564142,19.316114013018773,44,0.23656322100791358,-4.339947672340538
TQQQ,30m,5,13,4.5,close_only,0.9,3.7997167500002886,0.40789221577286044,23.933780568606927,44,0.25379697094298637,-5.692205824285102
TQQQ,30m,5,13,,intraday,0.5,3.7177320000002054,0.5565447692493668,13.40607420032259,44,0.17898288458930886,-3.1038143033845556
TQQQ,30m,5,13,,intraday,0.7,4.269322000000284,0.4894231551564142,19.316114013018773,44,0.23656322100791358,-4.339947672340538
TQQQ,30m,5,13,,intraday,0.9,3.7997167500002886,0.40789221577286044,23.933780568606927,44,0.25379697094298637,-5.692205824285102
TQQQ,30m,5,13,,close_only,0.5,3.7177320000002054,0.5565447692493668,13.40607420032259,44,0.17898288458930886,-3.1038143033845556
TQQQ,30m,5,13,,close_only,0.7,4.269322000000284,0.4894231551564142,19.316114013018773,44,0.23656322100791358,-4.339947672340538
TQQQ,30m,5,13,,close_only,0.9,3.7997167500002886,0.40789221577286044,23.933780568606927,44,0.25379697094298637,-5.692205824285102
TQQQ,30m,8,21,2.5,intraday,0.5,5.59953357651018,1.0574124939865472,8.64434557395665,23,0.23639369435540128,-3.287951213496376
TQQQ,30m,8,21,2.5,intraday,0.7,7.455880474605715,1.0101664762690683,11.999756321881943,23,0.3244822258771549,-4.515482824752892
